"Link","Type","Author","Date","Content","Id","Hashtag","Category"
"https://twitter.com/Vestra_DAO/status/1791788452268101774#m","Twitter tweet ","Vestra","18-05-2024","The Future of DeFi Solutions is Here!

? VestraDAO brings the power of blockchain technology to you by offering decentralized finance (DeFi) solutions. With our DAO structure, we make decisions together with our users, creating a transparent and reliable platform open to everyone's participation.

? Don't miss out on the opportunities provided by the DeFi ecosystem and redefine your financial freedom with VestraDAO! With our innovative projects and community-focused approach, take your place in the future of finance.

? Follow us for more information and updates!

#VestraDAO #DeFi #Blockchain #Fintech #SoDeFi","1791788452268101774","#VestraDAO, #DeFi, #Blockchain, #Fintech, #SoDeFi","is-not-pinned, is-retweet, is-not-reply"
"https://twitter.com/CoingeckoLineup/status/1791787200226767336#m","Twitter tweet ","? Coingecko_Lineup","18-05-2024","?#CoinGeckoLineUp Daily Digest 05/16/2023

?@MATAR__AI combines blockchain and AI.

?@xelis_project is an  innovative cryptocurrency with BlockDAG and Homomorphic Encryption.

?@AITAXBOT analyzes your transactions. 

?@BubsyAI is a next-generation ecosystem comprising both a bot and a #DApp.

?@AiDePIN_Org is the future of distributed GPU power.

?@SolanaRabbitPad is a decentralized launchpad for everyone.

?@earthlingsland is the first gaming metaverse on the most sustainable DLT #Hedera. 

?@IcosaCrypto is a protocol which builds upon the #Hedron protocol.

?@tarsprotocol is an AI-driven, scalable Web3 modular infrastructure platform.

?@TUXC1108 is a non custodial crypto currency wallet.","1791787200226767336","#CoinGeckoLineUp, #DApp.

?@AiDePIN_Org, #Hedera., #Hedron","is-not-pinned, is-retweet, is-not-reply"
"https://twitter.com/Rosa_Inu/status/1791438617711153490#m","Twitter tweet ","Rosa Inu","17-05-2024","?? Picking a new chain to hop on is a tough call, but being a multichain digital asset is gonna be a blast! ?

? Got any cool blockchain suggestions for us?

$ROSA","1791438617711153490","","is-not-pinned, is-retweet, is-not-reply"
"https://twitter.com/GutsulCrypto/status/1791788664411812159#m","Twitter tweet ","Gutsul Crypto News","18-05-2024","?JUST IN: Mastercard's Start Path Blockchain and Digital Asset program grows with five new startups.

More Info ???

app.binance.com/uni-qr/cpos/…","1791788664411812159","","is-not-pinned, is-not-retweet, is-not-reply"
"https://twitter.com/CryptoMissionPL/status/1791788662839001513#m","Twitter tweet ","Crypto Mission","18-05-2024","? Bitget Wallet Launches Ecosystem Fund Along with Onchain Layer

? Bitget plans to develop its own blockchain ecosystem, similar to those of Binance, OKX, and KuCoin.

? Bitget will launch an Onchain layer in collaboration with DApp developers and has established a $10 million BWB ecosystem fund to accelerate this project.

? BWB is the native token of the Bitget wallet, similar to the $TWT token, and can be used to cover transaction fees.

? The Bitget OnChain Layer Ecosystem Fund will initially focus on investing in and incubating Web3 trading services, including price aggregators, on-chain derivatives markets, and trading bots.

? Bitget Wallet is one of the more popular self-custodial wallets in the Asia-Pacific region, with over 20 million users. The BWB token, set to be introduced this quarter, will play a key role in the Bitget ecosystem.","1791788662839001513","","is-not-pinned, is-not-retweet, is-not-reply"
"https://twitter.com/DavidIncio11/status/1791788658141384844#m","Twitter tweet ","birdise","18-05-2024","@SnekkiesNFT is like the cool kids' club in the Cardano NFT world.They're all about those 7,777 unique little Snekkies NFTs, each with their own underground mining operation in the secret mines of the Cardano Blockchain??

In the past 30 days, Snekkies have accounted for a whopping 30% of all Cardano NFT secondary sales. That's like, a third of the whole market!? And with a total of 7,777 Snekkies, you can bet your bottom ADA that these little guys are making waves.

But wait, there's more! Snekkies are all about community and utility. They've got a Project Catalyst proposal to create a platform to salvage old NFTs and earn passive tokens. It's like giving your old, dusty NFTs a new lease on life! And let's not forget the Ministry of Sneks, where 77 Sneks are held in a team wallet, taken out of staking reward circulation. It's like a Snek retirement home, but with more mining and less shuffleboard.

?ss sss ssss...

#SnekFollowSnek #Cardano #Mining","1791788658141384844","#SnekFollowSnek, #Cardano, #Mining","is-not-pinned, is-not-retweet, is-not-reply"
"https://twitter.com/liteleks/status/1791788650725867732#m","Twitter tweet ","Versalex 35/8 (?, ?) ???","18-05-2024","? Cultivating @Mint_Blockchain MintTree $MINT in the #MintForest by @Mint_Blockchain, the L2 for the NFT industry!

Collect your ME point here: [mintchain.io/mint-forest?inv…]

#MintBlockchain #NFT #Layer2 #ME","1791788650725867732","#MintForest, #MintBlockchain, #NFT, #Layer2, #ME","is-not-pinned, is-not-retweet, is-not-reply"
"https://twitter.com/YasminH29127625/status/1791788649987637318#m","Twitter tweet ","Yasminah","18-05-2024","Yes is real","1791788649987637318","","is-not-pinned, is-not-retweet, is-reply"
"https://twitter.com/BaehrRonit91615/status/1791788647609708858#m","Twitter tweet ","PhaRaoh? ""Ultiverse???""","18-05-2024","? Cultivating @Mint_Blockchain MintTree $MINT in the #MintForest by @Mint_Blockchain, the L2 for the NFT industry!

Collect your ME point here: [mintchain.io/mint-forest?inv…]

#MintBlockchain #NFT #Layer2 #ME","1791788647609708858","#MintForest, #MintBlockchain, #NFT, #Layer2, #ME","is-not-pinned, is-not-retweet, is-not-reply"
"https://twitter.com/kryptocoins/status/1791782505885925536#m","Twitter tweet ","Kryptocoins.xep","18-05-2024","@ElectraProtocol $XEP 

Next level #crypto of infinite potential 

A1 #blockchain of endless possibilities

Remember the name #XEP #OmniXEP 

@cryptocom #FollowTheProtocol ?","1791782505885925536","#crypto, #blockchain, #XEP, #OmniXEP, #FollowTheProtocol","is-not-pinned, is-retweet, is-not-reply"
